# 首板盘中跟踪

交易日：20260427
跟踪数：42 只
数据覆盖：42/42 只 (100.0%)

## 极简摘要

**封板 4 只**
- 600338.SH 西藏珠峰（有色资源）11:00 封板
- 001211.SZ 双枪科技（竹基禾塑托盘）13:15 封板
- 600152.SH 维科技术（钠电储能龙头）13:15 封板

## 完整跟踪

### 000889.SZ 中嘉博创 - AI算力
早盘：开盘 -1.88% | 竞价额 3.16千万 | 量比 3.18
- 09:26: 换手涨停 | 涨幅 9.84% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.54% | 成交额 0.89亿
- 09:45: 弱势 | 涨幅 0.59% | 成交额 7.93亿
- 10:15: 弱势 | 涨幅 1.98% | 成交额 22.34亿
- 11:00: 炸板 | 涨幅 5.73% | 成交额 35.06亿
- 13:15: 炸板 | 涨幅 4.85% | 成交额 39.37亿
- 14:00: 炸板 | 涨幅 6.61% | 成交额 43.29亿
- 14:40: 炸板 | 涨幅 6.31% | 成交额 46.16亿

### 600338.SH 西藏珠峰 - 有色资源
早盘：开盘 1.02% | 竞价额 14.52千万 | 量比 6.60

- 09:26: 弱势 | 涨幅 -2.53% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 1.02% | 成交额 1.45亿
- 09:45: 炸板 | 涨幅 5.45% | 成交额 8.09亿
- 10:15: 炸板 | 涨幅 9.17% | 成交额 20.46亿
- 11:00: 封死 [封板] | 涨幅 10.01% | 成交额 26.64亿
- 13:15: 封死 | 涨幅 10.01% | 成交额 27.30亿
- 14:00: 封死 | 涨幅 10.01% | 成交额 27.75亿
- 14:40: 封死 | 涨幅 10.01% | 成交额 28.16亿
